timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, yaw, std, mean, laserFront
14229, -7.080714567564428e-05, -0.002023430075496435, 4.198445094516501e-05, 0.001543477294035256, -0.0015564948553219438, -0.0019424149068072438, 115405.9375, 151921.75, 90430.109375, 115205.0234375, 138397.625, 99310.140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12822170555591583, 0, 0, 0.0
14249, 0.0004209202015772462, -0.0022828609216958284, 9.078114089788869e-06, 0.004322804976254702, -0.0028273537755012512, -0.0019731910433620214, 115406.6484375, 151930.109375, 90428.15625, 115207.1875, 138393.609375, 99301.9921875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12641523778438568, 0, 0, 0.0
14269, -0.00033166425419040024, -0.0022812483366578817, -3.104872303083539e-05, 0.0007254181546159089, -0.002651779679581523, -0.002272284822538495, 115408.84375, 151924.484375, 90429.3125, 115200.6953125, 138398.84375, 99307.34375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1268279254436493, 0, 0, 0.0
14289, 0.0001521325029898435, -0.0020267299842089415, -5.502337808138691e-05, 0.0037160106003284454, -0.001318625989370048, -0.0020603456068784, 115410.9765625, 151932.859375, 90430.4609375, 115197.7421875, 138398.140625, 99313.4609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12976934015750885, 0, 0, 0.0
14309, -0.00012695002078544348, -0.002270218450576067, 0.0007821410545147955, 0.002306991722434759, -0.0021085471380501986, 0.00281960959546268, 115414.6015625, 151928.234375, 90429.3125, 115203.546875, 138400.421875, 99311.421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1321316659450531, 0, 0, 0.0
14329, -0.000373077520634979, -0.0022781267762184143, 0.0008453727350570261, 0.001232503680512309, -0.0021491656079888344, 0.003272763919085264, 115413.8828125, 151919.0, 90430.109375, 115203.546875, 138389.578125, 99308.859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13206082582473755, 0, 0, 0.0
14349, 0.001598319853655994, -0.0008017778745852411, 0.0005625054473057389, 0.011202766560018063, 0.005588743835687637, 0.001357847941108048, 115416.0546875, 151928.671875, 90433.2109375, 115196.265625, 138403.90625, 99314.2109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13396617770195007, 0, 0, 0.0
14369, -0.0006042039021849632, -0.002265075920149684, 0.000611108320299536, -0.0004122721729800105, -0.0025716472882777452, 0.0012786625884473324, 115405.9375, 151936.609375, 90435.9609375, 115203.546875, 138395.34375, 99312.1796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1342841237783432, 0, 0, 0.0
14389, 0.00036213998100720346, -0.0020196971017867327, 0.0008135453099384904, 0.004532220773398876, -0.0012612704886123538, 0.0026905639097094536, 115410.265625, 151932.859375, 90433.2109375, 115197.0546875, 138406.1875, 99310.140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1338791400194168, 0, 0, 0.0
14409, 0.001053028623573482, -0.00014905372518114746, 0.0008844176190905273, 0.00819436740130186, 0.008421754464507103, 0.002921292558312416, 115413.140625, 151932.421875, 90426.2109375, 115205.0234375, 138394.125, 99308.1015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13411030173301697, 0, 0, 0.0
14429, 0.0005702355410903692, -0.0022495847661048174, 0.0009746290743350983, 0.005241375416517258, -0.0025907803792506456, 0.0031280587427318096, 115416.765625, 151937.46875, 90431.2578125, 115201.3828125, 138397.625, 99312.1796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13265784084796906, 0, 0, 0.0
14449, -0.00011729556717909873, -0.002251193393021822, 0.0006226272089406848, 0.0015931848902255297, -0.0022511803545057774, 0.0011265302309766412, 115410.9765625, 151937.046875, 90425.4140625, 115204.3359375, 138399.375, 99316.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13496308028697968, 0, 0, 0.0
