timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, yaw, laserFront
16824, 0.10465991497039795, -0.00463804742321372, 0.2656843364238739, -0.030612990260124207, 0.0016524270176887512, 0.07009541988372803, 124783.1640625, 155705.890625, 88097.640625, 127976.9609375, 141558.1875, 105218.0390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.6363487243652344, 0.0
16844, 0.1020137146115303, -0.007854283787310123, 0.2670767307281494, -0.03721838444471359, -0.006013270001858473, 0.06891350448131561, 124779.40625, 155704.0, 88106.4140625, 127989.0625, 141557.15625, 105216.703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.6191471219062805, 0.0
16864, 0.10202079266309738, -0.013066218234598637, 0.2689202129840851, -0.03699355572462082, -0.01825266145169735, 0.0696149691939354, 124781.6171875, 155705.890625, 88100.9453125, 127985.234375, 141559.9375, 105214.625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.6161054372787476, 0.0
16884, 0.10185818374156952, -0.013878659345209599, 0.2702770531177521, -0.03708159923553467, -0.019868047907948494, 0.06549292057752609, 124783.1640625, 155707.796875, 88102.578125, 127988.078125, 141555.90625, 105214.625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.5829413533210754, 0.0
16904, 0.10085435956716537, -0.015450895763933659, 0.2709434926509857, -0.03920203074812889, -0.023242689669132233, 0.059029098600149155, 124778.7421875, 155704.0, 88098.21875, 127985.234375, 141559.9375, 105220.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.5655627250671387, 0.0
16924, 0.10143597424030304, -0.016150789335370064, 0.2721651792526245, -0.03739314153790474, -0.024090835824608803, 0.05721310153603554, 124775.65625, 155705.890625, 88093.28125, 127987.4609375, 141562.203125, 105214.625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.5590559244155884, 0.0
16944, 0.10132044553756714, -0.016694389283657074, 0.27357518672943115, -0.03723514452576637, -0.024286707863211632, 0.058767084032297134, 124783.1640625, 155709.6875, 88097.1171875, 127968.0625, 141554.890625, 105212.546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.5359821915626526, 0.0
16964, 0.1018499955534935, -0.0193939171731472, 0.27473583817481995, -0.035386811941862106, -0.02918282151222229, 0.05731966719031334, 124778.7421875, 155704.0, 88104.78125, 127974.1171875, 141551.375, 105218.0390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.5299408435821533, 0.0
16984, 0.10078952461481094, -0.021201029419898987, 0.27586567401885986, -0.03710656613111496, -0.03166736289858818, 0.056621816009283066, 124781.6171875, 155707.796875, 88096.828125, 127972.5078125, 141562.203125, 105211.796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.5317620635032654, 0.0
17004, 0.10081405937671661, -0.02353033795952797, 0.2766353189945221, -0.036053553223609924, -0.035093169659376144, 0.054756537079811096, 124785.3671875, 155707.796875, 88094.09375, 127973.5, 141559.9375, 105215.9609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.5305697917938232, 0.0
17024, 0.1005101129412651, -0.02563123218715191, 0.2777124345302582, -0.03557977080345154, -0.037629686295986176, 0.05351093038916588, 124783.1640625, 155707.796875, 88108.6171875, 127971.8984375, 141566.75, 105215.375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.527787983417511, 0.0
17044, 0.10009714215993881, -0.025384681299328804, 0.2791078984737396, -0.03528173267841339, -0.034336820244789124, 0.05581694468855858, 124784.703125, 155707.796875, 88103.6796875, 127980.7890625, 141562.203125, 105222.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.5259577035903931, 0.0
17064, 0.09965399652719498, -0.02779589779675007, 0.2802382707595825, -0.03503696247935295, -0.03682930767536163, 0.05731973797082901, 124783.1640625, 155702.109375, 88101.765625, 127988.078125, 141557.15625, 105214.625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.5268633365631104, 0.0
