timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, preprocesswhisker1_1, preprocesswhisker1_2, preprocesswhisker1_3, preprocesswhisker2_1, preprocesswhisker2_2, preprocesswhisker2_3, motor1, motor2, motor3, motor4, roll, pitch, laserFront
111073, 0.016843708232045174, 0.0072658066637814045, 0.0018062620656564832, 0.009028744883835316, 0.0030349951703101397, -0.0016283149598166347, 116685.6875, 151392.609375, 90408.109375, 114217.9921875, 137863.953125, 98143.28125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.16528712213039398, 2.7870497703552246, 0.0
111093, 0.015884339809417725, 0.007698995992541313, 0.001788035617209971, 0.003496469696983695, 0.005637521389871836, -0.0005075527005828917, 116682.8125, 151397.234375, 90410.0625, 114219.4765625, 137861.6875, 98141.25, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.15663695335388184, 2.7926485538482666, 0.0
111113, 0.01565743237733841, 0.0076957400888204575, 0.001416464103385806, 0.0025282714050263166, 0.004911657888442278, -0.0033703080844134092, 116687.9453125, 151401.0, 90404.203125, 114220.953125, 137859.9375, 98137.9453125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.15842337906360626, 2.7864551544189453, 0.0
111133, 0.015651363879442215, 0.007672252133488655, 0.0013877851888537407, 0.0026946088764816523, 0.005075944121927023, -0.003001471282914281, 116682.109375, 151393.46875, 90409.2734375, 114228.109375, 137860.640625, 98146.5859375, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.1650477945804596, 2.7788197994232178, 0.0
111153, 0.0167377982288599, 0.007320287637412548, 0.0024261288344860077, 0.008279271423816681, 0.0024602285120636225, 0.004222954157739878, 116682.109375, 151401.859375, 90408.109375, 114223.7890625, 137855.390625, 98139.2265625, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.1586853712797165, 2.7897915840148926, 0.0
111173, 0.0158253014087677, 0.007740654982626438, 0.0025098957121372223, 0.0030267168767750263, 0.005097233224660158, 0.0033724727109074593, 116686.46875, 151397.234375, 90417.0859375, 114221.6328125, 137863.4375, 98141.25, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.16328008472919464, 2.8214564323425293, 0.0
111193, 0.01645357348024845, 0.006766465026885271, 0.0027573956176638603, 0.006343496963381767, -0.001388894859701395, 0.0049352217465639114, 116684.2890625, 151401.859375, 90405.7890625, 114223.7890625, 137858.375, 98145.3125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.15477901697158813, 2.778594732284546, 0.0
111213, 0.01600697450339794, 0.00799852516502142, 0.0028703324496746063, 0.003893391229212284, 0.006072099320590496, 0.0052476744167506695, 116677.7578125, 151398.6875, 90406.15625, 114223.7890625, 137863.4375, 98143.28125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.15190543234348297, 2.811265230178833, 0.0
111233, 0.01640450954437256, 0.006784826051443815, 0.0026189396157860756, 0.006430559791624546, -0.00028175668558105826, 0.0038817778695374727, 116682.8125, 151401.421875, 90416.2890625, 114227.4296875, 137863.953125, 98141.25, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.15851514041423798, 2.8121824264526367, 0.0
111253, 0.016195354983210564, 0.0077715665102005005, 0.002698607975617051, 0.004795906599611044, 0.0058553568087518215, 0.0037235612981021404, 116690.125, 151403.734375, 90410.0625, 114223.7890625, 137865.71875, 98137.1953125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.17102310061454773, 2.7518928050994873, 0.0
