timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, preprocesswhisker1_1, preprocesswhisker1_2, preprocesswhisker1_3, preprocesswhisker2_1, preprocesswhisker2_2, preprocesswhisker2_3, roll, pitch
11452, 0.0027920592110604048, -0.001222439925186336, 0.0016393887344747782, 0.00579818245023489, -0.0023950496688485146, -0.003846116829663515, 114635.6484375, 149567.09375, 91045.3828125, 111613.9609375, 137281.90625, 96599.1171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13150648772716522, 2.425961494445801
11472, 0.003214681288227439, -0.0007945053512230515, 0.0015584946377202868, 0.007758870255202055, -7.235261000460014e-05, -0.004135712515562773, 114635.6484375, 149578.203125, 91041.0703125, 111617.4921875, 137286.453125, 96601.3828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13587497174739838, 2.4182207584381104
11492, 0.002775904256850481, -0.0008005967829376459, 0.00125808862503618, 0.005681506358087063, -0.00023999206314329058, -0.005636333953589201, 114645.0625, 149573.578125, 91051.2578125, 111618.9375, 137288.203125, 96604.65625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11987042427062988, 2.3986475467681885
11512, 0.002680103527382016, -0.0007874156581237912, 0.0011481127003207803, 0.0049426560290157795, -0.0005952451028861105, -0.005531231872737408, 114650.8046875, 149580.515625, 91050.0859375, 111619.6328125, 137288.203125, 96609.9453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12128859758377075, 2.4014430046081543
11532, 0.0026030302979052067, -0.001171726849861443, 0.001803140970878303, 0.004863101523369551, -0.002488659229129553, -0.001478220452554524, 114648.640625, 149579.09375, 91052.4375, 111633.25, 137290.484375, 96608.6875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10863927006721497, 2.413259744644165
11552, 0.0026118203531950712, -0.0008295999723486602, 0.0017796166939660907, 0.005126717034727335, -0.0005340400384739041, -0.0010395741555839777, 114652.9765625, 149580.078125, 91054.0078125, 111629.65625, 137292.75, 96611.9609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13395577669143677, 2.4069998264312744
11572, 0.002742500277236104, -0.0008339526248164475, 0.0010674335062503815, 0.005670721642673016, 4.3463707697810605e-05, -0.004448445979505777, 114654.4296875, 149587.0, 91052.046875, 111636.84375, 137291.0, 96616.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1214967891573906, 2.4088966846466064
11592, 0.0028686418663710356, -0.0008337015751749277, 0.0009726132266223431, 0.006313340738415718, 0.00019184601842425764, -0.0045454842038452625, 114660.2265625, 149592.078125, 91057.140625, 111634.703125, 137291.0, 96616.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12209456413984299, 2.406057119369507
11612, 0.0029975695069879293, -0.0008329647243954241, 0.0008801548392511904, 0.006572973448783159, 8.48188137752004e-05, -0.004471579100936651, 114667.4296875, 149593.9375, 91054.3984375, 111633.25, 137293.28125, 96617.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11863850802183151, 2.399801731109619
11632, 0.002943827537819743, -0.0003821391728706658, 0.0021594171412289143, 0.006147824693471193, 0.0017601946601644158, 0.002047016518190503, 114669.59375, 149592.515625, 91055.96875, 111637.5390625, 137289.953125, 96619.265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12047317624092102, 2.3948240280151367
