timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop, roll, pitch
18154, 0.004234483931213617, -0.000598785059992224, 0.0004940679064020514, 0.010451805777847767, 0.0001691400248091668, 0.003194645280018449, 104131.9765625, 140448.09375, 92960.078125, 99238.859375, 134082.453125, 89154.5625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1991516500711441, 2.6370201110839844
18174, 0.004445777740329504, -0.0006014046957716346, 0.0005685485666617751, 0.010845668613910675, 0.00015236339822877198, 0.004170396830886602, 104135.421875, 140452.1875, 92958.546875, 99242.3671875, 134084.71875, 89149.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.20157471299171448, 2.6474313735961914
18194, 0.004867649171501398, -0.0005963767180219293, 0.0008094225777313113, 0.012084610760211945, -0.0001680724963080138, 0.005066057201474905, 104129.140625, 140452.1875, 92953.3515625, 99238.2734375, 134089.796875, 89152.1953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2034488022327423, 2.6410562992095947
18214, 0.005119808949530125, -0.0005936274537816644, 0.0009042080491781235, 0.012828017584979534, -0.0006774013163521886, 0.0049693104811012745, 104128.5234375, 140448.09375, 92958.546875, 99236.21875, 134080.703125, 89157.265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.20510375499725342, 2.6255457401275635
18234, 0.0039963386952877045, -0.000530627032276243, 0.0006055223639123142, 0.008029503747820854, 0.000594759825617075, 0.002629756461828947, 104134.6875, 140452.703125, 92952.5859375, 99232.125, 134080.703125, 89151.4375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2063145786523819, 2.6680989265441895
18254, 0.005231036338955164, -0.0005494900979101658, 0.0006575798615813255, 0.012983867898583412, 0.001422869972884655, 0.0029993774369359016, 104128.5234375, 140454.484375, 92952.5859375, 99241.6328125, 134076.171875, 89148.7421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2035091370344162, 2.6316421031951904
18274, 0.00453747296705842, -0.000634507043287158, 0.0007247247849591076, 0.01033035945147276, 0.000911456998437643, 0.0027494668029248714, 104132.59375, 140452.703125, 92950.90625, 99239.0, 134082.984375, 89156.5078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1998671591281891, 2.664466142654419
18294, 0.004757123999297619, -0.0006288528093136847, 0.0004828183737117797, 0.010826842859387398, 0.0008336972096003592, 0.0026899187359958887, 104134.6875, 140447.078125, 92954.8828125, 99232.859375, 134087.0, 89149.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19293217360973358, 2.6347739696502686
18314, 0.004310657270252705, -0.0006216043839231133, 0.0005118517437949777, 0.009518656879663467, 0.0004281817236915231, 0.0007076355395838618, 104131.9765625, 140444.015625, 92955.3359375, 99241.046875, 134084.1875, 89158.4453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19707268476486206, 2.6527185440063477
18334, 0.0037693658377975225, -0.0006293525220826268, 0.00034079450415447354, 0.0068883271887898445, 0.0013253209181129932, 0.0014067186275497079, 104133.328125, 140456.796875, 92952.5859375, 99236.8125, 134083.515625, 89150.6796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19164621829986572, 2.6614201068878174
