timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop, yaw, laserFront
17602, 0.06050543859601021, 0.12086774408817291, 0.003574735950678587, 0.008266186341643333, -0.0029286991339176893, 0.0029083655681461096, 122727.2109375, 156233.15625, 92729.0703125, 124444.2578125, 140621.171875, 103825.53125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05492819473147392, 0.0
17622, 0.06047557666897774, 0.12109065055847168, 0.0036419061943888664, 0.00793731864541769, -0.0008840086520649493, 0.0031601949594914913, 122738.234375, 156233.15625, 92728.2734375, 124439.828125, 140623.453125, 103826.859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05053028464317322, 0.0
17642, 0.058921344578266144, 0.12267500162124634, 0.004252416547387838, -0.0014373405138030648, 0.007532288786023855, 0.006234760396182537, 122729.4140625, 156235.078125, 92723.15625, 124448.9921875, 140613.609375, 103826.2734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.050582513213157654, 0.0
17662, 0.05876489356160164, 0.12192562222480774, 0.004412162117660046, -0.0023551443591713905, 0.0032724151387810707, 0.006528021302074194, 122729.4140625, 156233.15625, 92726.296875, 124448.9921875, 140621.6875, 103828.9296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05192378908395767, 0.0
17682, 0.05906473100185394, 0.1221456527709961, 0.0035534650087356567, -0.00039691722486168146, 0.004550615791231394, 0.0012237840564921498, 122731.625, 156231.25, 92721.1796875, 124442.9921875, 140615.890625, 103828.9296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.056405458599328995, 0.0
17702, 0.05887246131896973, 0.12235501408576965, 0.003595484886318445, -0.0012769479071721435, 0.005829724948853254, 0.0018600772600620985, 122735.359375, 156229.328125, 92727.1015625, 124444.5703125, 140617.65625, 103825.53125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.057217538356781006, 0.0
17722, 0.06069479137659073, 0.12078303843736649, 0.0030158585868775845, 0.008469948545098305, -0.0029591815546154976, -0.001112191821448505, 122725.0078125, 156233.15625, 92716.8671875, 124449.625, 140622.703125, 103827.6015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05494808405637741, 0.0
17742, 0.060720305889844894, 0.12119988352060318, 0.003020756645128131, 0.00875154696404934, -0.00102984847035259, -0.0008862136164680123, 122733.828125, 156231.25, 92716.0625, 124439.828125, 140615.375, 103820.0546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05855698138475418, 0.0
17762, 0.060731664299964905, 0.12074579298496246, 0.0029994717333465815, 0.00893594790250063, -0.0033739320933818817, -0.001440927037037909, 122733.1484375, 156233.15625, 92720.0078125, 124442.046875, 140619.921875, 103825.53125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05807177349925041, 0.0
17782, 0.05987927317619324, 0.1214008554816246, 0.0025791157968342304, 0.004307063762098551, 8.682483166921884e-05, -0.0029349811375141144, 122727.2109375, 156235.078125, 92722.3515625, 124445.203125, 140617.140625, 103824.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06119813024997711, 0.0
17802, 0.060841839760541916, 0.12118864059448242, 0.0025215039495378733, 0.00938746053725481, -0.0005509813199751079, -0.0026557103265076876, 122724.328125, 156233.15625, 92723.15625, 124448.046875, 140619.40625, 103827.6015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.062109194695949554, 0.0
17822, 0.06087155640125275, 0.1211688220500946, 0.0018458350095897913, 0.009225095622241497, -0.000594759767409414, -0.0053803580813109875, 122733.828125, 156233.15625, 92726.296875, 124448.046875, 140617.140625, 103827.6015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06282604485750198, 0.0
17842, 0.0591079518198967, 0.1218036338686943, 0.0017467801226302981, -0.0006048577488400042, 0.0030516244005411863, -0.005780875217169523, 122731.625, 156233.15625, 92728.2734375, 124442.046875, 140621.6875, 103819.4765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06356669217348099, 0.0
17862, 0.06000000610947609, 0.12154658883810043, 0.0017803478986024857, 0.0042565371841192245, 0.0018964471528306603, -0.004724537022411823, 122729.4140625, 156233.15625, 92729.4453125, 124452.46875, 140622.9375, 103827.0234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0661969855427742, 0.0
17882, 0.06085565313696861, 0.12153686583042145, 0.0017028705915436149, 0.008537478744983673, 0.0017971909837797284, -0.00489804707467556, 122729.4140625, 156233.15625, 92727.46875, 124447.4140625, 140617.65625, 103833.828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06641838699579239, 0.0
17902, 0.0599631704390049, 0.12131170928478241, 0.002940018195658922, 0.002976851537823677, 0.0009042609599418938, 0.0024193786084651947, 122731.625, 156231.25, 92730.2421875, 124450.5703125, 140621.171875, 103825.53125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06546401232481003, 0.0
17922, 0.06079727038741112, 0.12045664340257645, 0.003010774729773402, 0.007984214462339878, -0.004452413879334927, 0.0030027651228010654, 122731.625, 156231.25, 92728.2734375, 124445.8359375, 140623.453125, 103826.2734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06633823364973068, 0.0
17942, 0.05909052863717079, 0.12172825634479523, 0.002665093634277582, -0.0012679091887548566, 0.002716576447710395, 0.0007629653555341065, 122731.625, 156231.25, 92725.5, 124447.4140625, 140623.453125, 103830.421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06773293763399124, 0.0
17962, 0.05929162725806236, 0.12213719636201859, 0.0027077356353402138, -5.797407720820047e-05, 0.004531337879598141, 0.000936888565775007, 122734.6796875, 156231.25, 92728.2734375, 124454.6796875, 140620.671875, 103826.2734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06793563067913055, 0.0
17982, 0.06074050813913345, 0.12084527313709259, 0.002746713114902377, 0.008244238793849945, -0.0034702448174357414, 0.0011302053462713957, 122725.0078125, 156231.25, 92725.5, 124450.2578125, 140623.953125, 103834.5703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06868484616279602, 0.0
