timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop, yaw, laserFront, Position X, Position Y, Position Z, yaw
24324, 0.0003067982033826411, 0.002688842825591564, 0.011581314727663994, 0.005373861640691757, 0.007656837347894907, -0.012914398685097694, 134651.203125, 155958.390625, 91808.2421875, 124454.875, 143200.609375, 104694.59375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12428970634937286, 279.0, -0.39068788290023804, 0.014096182771027088, -0.5312053561210632, -0.030429675087199622
24344, 0.0007257825345732272, 0.0010446589440107346, 0.011352922767400742, 0.00756083894520998, -0.001252675661817193, -0.01250511035323143, 134657.96875, 155954.578125, 91813.3125, 124459.9296875, 143200.609375, 104696.6796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12507621943950653, 277.0, -0.3907183110713959, 0.014026576653122902, -0.5311323404312134, -0.02983749061731029
24364, -0.0017986607272177935, 0.005796421784907579, 0.012704688124358654, -0.006164684891700745, 0.02434372901916504, -0.004838528111577034, 134654.515625, 155956.484375, 91810.546875, 124459.296875, 143192.484375, 104700.0859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12766174972057343, 277.0, -0.38969480991363525, 0.005101953633129597, -0.5307733416557312, -3.0906667883746084
24384, 0.0005108103505335748, 0.0019365116022527218, 0.012835454195737839, 0.007039952091872692, 0.002419609809294343, -0.0034647381398826838, 134653.921875, 155960.296875, 91810.1953125, 124463.078125, 143198.328125, 104696.6796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12043598294258118, 277.0, -0.3896588981151581, 0.005059533752501011, -0.5308144688606262, -3.0869058470199686
24404, -0.00038416567258536816, 0.0015162477502599359, 0.013691461645066738, 0.001496714074164629, -0.00017428622231818736, 0.0012234653113409877, 134650.609375, 155958.390625, 91810.1953125, 124457.0859375, 143196.546875, 104692.515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12062736600637436, 276.0, -0.39061951637268066, 0.01391963567584753, -0.5311333537101746, -0.02603275273413252
24424, 3.2811574783409014e-05, 0.0023762546479701996, 0.013726949691772461, 0.004133093170821667, 0.004592008423060179, 0.0015512696700170636, 134654.515625, 155958.390625, 91804.3203125, 124468.1328125, 143185.65625, 104700.8359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11931103467941284, 276.0, -0.39068108797073364, 0.014060421846807003, -0.5311893820762634, -0.026470229770996997
24444, -0.00038515482447110116, 0.0017435320187360048, 0.013859850354492664, 0.0014099730178713799, 0.0010250360937789083, 0.0021242103539407253, 134644.4375, 155958.390625, 91811.3515625, 124463.7109375, 143196.0625, 104695.9296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11795490235090256, 276.0, -0.39058560132980347, 0.013849083334207535, -0.5310963988304138, -0.023189953570668005
24464, 0.00024174281861633062, 0.0019577019847929478, 0.013909367844462395, 0.004859980661422014, 0.0023010517470538616, 0.002297745319083333, 134653.328125, 155958.390625, 91819.546875, 124463.7109375, 143194.765625, 104696.6796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11814228445291519, 278.0, -0.3895743191242218, 0.0048903534188866615, -0.530884325504303, -3.087539242357688
24484, -0.00038103340193629265, 0.002149506937712431, 0.013964749872684479, 0.0012208351399749517, 0.004011380951851606, 0.0017737974412739277, 134652.859375, 155958.390625, 91816.4296875, 124461.5078125, 143191.5, 104697.421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11585838347673416, 278.0, -0.38962775468826294, 0.004918941296637058, -0.5308040976524353, -3.0834362015335226
24504, -0.00039047811878845096, 0.002154513029381633, 0.014444330707192421, 0.0007214525248855352, 0.00408734567463398, 0.0035031605511903763, 134654.515625, 155958.390625, 91815.2734375, 124462.4375, 143195.5625, 104693.8515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1169324442744255, 278.0, -0.39057591557502747, 0.013781163841485977, -0.5311722159385681, -0.02229161945263133
24524, 0.0004233212966937572, 0.0021508741192519665, 0.01451437920331955, 0.005227480083703995, 0.00454193027690053, 0.003308095969259739, 134654.515625, 155960.296875, 91813.3125, 124460.8671875, 143194.265625, 104696.6796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1155947670340538, 277.0, -0.3906172811985016, 0.013871192000806332, -0.5310606360435486, -0.028533597855104408
