timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop, yaw, laserFront, Position X, Position Y, Position Z, yaw
19986, 0.002703964477404952, -0.0007445247611030936, 0.021853618323802948, 0.004932658281177282, 0.0032283791806548834, -0.000787217344623059, 130434.78125, 156292.5, 91664.2734375, 119424.984375, 141666.265625, 102626.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00448904512450099, 178.0, -1.03866446018219, 0.015486408025026321, -0.5121235847473145, -0.0031982681831033335
20006, 0.0027341691311448812, -0.001077522523701191, 0.021840758621692657, 0.005227924790233374, 0.0017794965533539653, -0.0007464620284736156, 130424.1953125, 156294.421875, 91669.359375, 119433.25, 141669.8125, 102628.9453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003265906358137727, 178.0, -1.0386972427368164, 0.01569405011832714, -0.5120984315872192, -0.001708900701364488
20026, 0.0027791601605713367, -0.0007707006298005581, 0.02182716503739357, 0.005265481770038605, 0.003591870190575719, -0.0007953476160764694, 130432.5390625, 156292.5, 91668.1953125, 119420.609375, 141674.359375, 102627.4453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004886504728347063, 178.0, -1.0386300086975098, 0.015711462125182152, -0.5118928551673889, -0.0014647023581428032
20046, 0.0024673205334693193, -0.0007798658334650099, 0.02233104594051838, 0.004006262868642807, 0.0038775894790887833, 0.0018785007996484637, 130433.1640625, 156296.34375, 91669.71875, 119430.203125, 141672.59375, 102632.890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006323947571218014, 173.0, -1.0386158227920532, 0.015510684810578823, -0.5120769143104553, -0.0019813999906605957
20066, 0.002468839520588517, -0.00108149996958673, 0.0223704744130373, 0.00432809442281723, 0.0024383156560361385, 0.0015918845310807228, 130432.5390625, 156294.421875, 91671.3203125, 119425.8359375, 141663.984375, 102634.953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005846915300935507, 173.0, -1.0386018753051758, 0.015566471964120865, -0.5119515061378479, 0.0003897129271070186
20086, 0.003018766874447465, -0.0007941100629977882, 0.023527804762125015, 0.007184801157563925, 0.0038527550641447306, 0.007284505292773247, 130428.6796875, 156294.421875, 91664.6328125, 119436.7578125, 141669.3125, 102632.890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007164097856730223, 173.0, -1.0385608673095703, 0.015614396892488003, -0.5120832324028015, -0.0033105627356340025
20106, 0.002425288548693061, -0.0007839472382329404, 0.023682108148932457, 0.004106552805751562, 0.0039230952970683575, 0.007468348369002342, 130437.0234375, 156296.34375, 91667.3984375, 119428.0234375, 141669.3125, 102628.1953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010029048658907413, 176.0, -1.0386238098144531, 0.015527244657278061, -0.5119401812553406, 0.0037251573854900633
20126, 0.0026734231505542994, -0.000834413745906204, 0.023933038115501404, 0.005519527476280928, 0.003479739185422659, 0.007812181022018194, 130429.921875, 156294.421875, 91671.3203125, 119435.4296875, 141673.859375, 102632.328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010343627072870731, 176.0, -1.0386223793029785, 0.015687525272369385, -0.5119574666023254, 0.0031023044137473465
20146, 0.002089111367240548, -0.0011173132807016373, 0.024091441184282303, 0.0028660327661782503, 0.0025833011604845524, 0.00771815562620759, 130434.78125, 156296.34375, 91672.4765625, 119430.203125, 141667.546875, 102629.515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011514625512063503, 174.0, -1.0386704206466675, 0.015575871802866459, -0.5121282339096069, 0.0030614912593181446
20166, 0.00265028839930892, -0.000861323089338839, 0.02337404154241085, 0.005913089029490948, 0.004009095951914787, 0.0033296982292085886, 130430.921875, 156292.5, 91675.2421875, 119423.6484375, 141668.046875, 102630.265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01238219067454338, 174.0, -1.0386601686477661, 0.015548070892691612, -0.5121299028396606, -0.00434316459940256
