timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, KFwhisker1, KFwhisker2, Position X, Position Y, Position Z, yaw
11807, 0.00226867594756186, 0.0007142458925954998, -1.8747410649666563e-05, 0.007766570895910263, 0.0038957272190600634, -0.0001637409586692229, 126197.8203125, 156513.265625, 88393.0078125, 114832.78125, 140927.25, 99458.7890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052345093339681625, 226.0, 0.0, 0.0, 0, 0, 0, 0
11827, 0.0018487571505829692, 0.0006667812122032046, -2.171026608266402e-05, 0.005925126373767853, 0.0038946939166635275, -0.00028722945717163384, 126194.671875, 156517.109375, 88396.859375, 114835.71875, 140929.015625, 99458.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05116216838359833, 226.0, 0.0, 0.0, 0, 0, 0, 0
11847, 0.002112831687554717, 0.0009603305952623487, -2.2496142264571972e-05, 0.007131527177989483, 0.005294842179864645, -0.0004780052986461669, 126200.6953125, 156517.109375, 88406.8046875, 114837.8828125, 140934.578125, 99458.7890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04995254799723625, 228.0, 0.0, 0.0, 0, 0, 0, 0
11867, 0.0017526980955153704, 0.000595938297919929, -2.911631418101024e-05, 0.005773225333541632, 0.004521438851952553, -0.0005009839660488069, 126196.25, 156519.03125, 88401.828125, 114835.03125, 140931.796875, 99457.5078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.050528232008218765, 228.0, 0.0, 0.0, 0, 0, 0, 0
11887, 0.0016806633211672306, 0.00022478369646705687, -2.325530476809945e-05, 0.005604439415037632, 0.003862494369968772, -0.0005546432221308351, 126196.8984375, 156517.109375, 88402.6328125, 114837.1875, 140937.625, 99464.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05102422833442688, 228.0, 0.0, 0.0, 0, 0, 0, 0
11907, 0.001946773729287088, 0.0005001068348065019, -3.60843405360356e-05, 0.007058749441057444, 0.0053807892836630344, -0.0006776695372536778, 126200.6953125, 156515.1875, 88399.5859375, 114832.09375, 140940.40625, 99464.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05209534242749214, 228.0, 0.0, 0.0, 0, 0, 0, 0
11927, 0.0015570424729958177, 0.0004371663962956518, -3.024384204763919e-05, 0.005893175955861807, 0.006024219561368227, -0.000760495662689209, 126205.796875, 156515.1875, 88400.7109375, 114837.8828125, 140938.625, 99470.78125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04884542152285576, 228.0, 0.0, 0.0, 0, 0, 0, 0
11947, 0.0018999956082552671, 0.00043483226909302175, -3.78625700250268e-05, 0.007590169552713633, 0.00666199903935194, -0.0002991207002196461, 126202.921875, 156519.03125, 88402.6328125, 114829.9296875, 140935.84375, 99468.7421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.047906771302223206, 228.0, 0.0, 0.0, 0, 0, 0, 0
11967, 0.002055815188214183, 0.00057618209393695, -2.3155816961661913e-05, 0.008105078712105751, 0.007791867014020681, -7.172743062255904e-05, 126211.8203125, 156515.1875, 88413.3828125, 114840.0390625, 140934.078125, 99466.1796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.048049572855234146, 228.0, 0.0, 0.0, 0, 0, 0, 0
11987, 0.0022238115780055523, 0.0007362038595601916, -1.999810956476722e-05, 0.008729583583772182, 0.008342578075826168, 0.0002592210948932916, 126208.0234375, 156515.1875, 88406.484375, 114838.5703125, 140943.453125, 99471.5390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04914574325084686, 228.0, 0.0, 0.0, 0, 0, 0, 0
