timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, yaw, laserFront, KFwhisker1, KFwhisker2, Position X, Position Y, Position Z, yaw
11176, 0.000782947288826108, 0.0005645914352498949, 0.010220058262348175, 0.002693310147151351, 0.003228821326047182, -0.004001269116997719, 124593.546875, 157087.84375, 96128.9375, 107491.671875, 138596.125, 96882.578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1915874481201172, 218.0, 0.0, 0.0, 0, 0, 0, 0
11196, 0.0008176921401172876, 0.0006322418921627104, 0.01083980780094862, 0.0027166029904037714, 0.003116798587143421, -0.00037384204915724695, 124591.9765625, 157091.734375, 96131.734375, 107497.3046875, 138602.453125, 96882.578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19305448234081268, 218.0, 0.0, 0.0, 0, 0, 0, 0
11216, 0.0008709093672223389, 0.0006985988584347069, 0.010840177536010742, 0.0028975449968129396, 0.0030823983252048492, -1.3866610061086249e-05, 124606.8828125, 157085.90625, 96132.5078125, 107500.8203125, 138607.515625, 96882.578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19334252178668976, 218.0, 0.0, 0.0, 0, 0, 0, 0
11236, 0.0012442386941984296, 0.0006228106212802231, 0.010855433531105518, 0.004390631802380085, 0.0023593115620315075, 0.0008785522077232599, 124599.296875, 157089.796875, 96133.7421875, 107502.953125, 138600.671875, 96891.3984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19473642110824585, 218.0, 0.0, 0.0, 0, 0, 0, 0
11256, 0.00035029806895181537, 0.0006286646239459515, 0.011357489973306656, 0.00031764633604325354, 0.0016991007141768932, 0.0034877655562013388, 124605.3125, 157091.734375, 96139.7890625, 107516.3203125, 138602.953125, 96889.3828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19420525431632996, 218.0, 0.0, 0.0, 0, 0, 0, 0
11276, 0.0012463564053177834, 0.0005930498009547591, 0.011429797857999802, 0.004081939812749624, 0.0011354890884831548, 0.00355119863525033, 124607.53125, 157087.84375, 96131.734375, 107516.3203125, 138602.953125, 96894.6875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19599317014217377, 218.0, 0.0, 0.0, 0, 0, 0, 0
11296, 0.0004339975130278617, 0.00013467510871123523, 0.011297421529889107, -0.0001338929432677105, -0.0009631318389438093, 0.0028212598990648985, 124614.46875, 157089.796875, 96138.5546875, 107512.8046875, 138608.265625, 96897.96875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19728583097457886, 215.0, 0.0, 0.0, 0, 0, 0, 0
11316, 0.000805957184638828, 0.00015803442511241883, 0.011355290189385414, 0.0014490848407149315, -0.0008697423618286848, 0.002728537190705538, 124615.7734375, 157089.796875, 96136.5390625, 107527.578125, 138604.71875, 96892.671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1958894580602646, 215.0, 0.0, 0.0, 0, 0, 0, 0
11336, 0.00038504021358676255, 0.00018546238425187767, 0.012033720500767231, -0.0004429024120327085, -0.0010061470093205571, 0.006507046055048704, 124620.21875, 157091.734375, 96136.5390625, 107520.5703125, 138609.28125, 96901.4921875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19554054737091064, 215.0, 0.0, 0.0, 0, 0, 0, 0
11356, 0.0007168107549659908, 0.0005348426639102399, 0.01216586772352457, 0.0009469729848206043, 0.0006543618510477245, 0.006871425546705723, 124623.09375, 157093.6875, 96138.5546875, 107518.453125, 138607.0, 96906.046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1957497000694275, 217.0, 0.0, 0.0, 0, 0, 0, 0
